#datatype measurement,dateTime:RFC3339,double,tag
m,time,kWh,location
EAT,2024-02-07T08:49:46Z,71590.3,ENSEM
EAT,2024-02-07T08:50:01Z,71590.5,ENSEM
EAT,2024-02-07T08:50:16Z,71590.7,ENSEM
EAT,2024-02-07T08:50:31Z,71590.9,ENSEM
EAT,2024-02-07T08:50:46Z,71591.2,ENSEM
EAT,2024-02-07T08:51:01Z,71591.4,ENSEM
EAT,2024-02-07T08:51:17Z,71591.6,ENSEM
EAT,2024-02-07T08:51:32Z,71591.9,ENSEM
EAT,2024-02-07T08:51:47Z,71592.1,ENSEM
EAT,2024-02-07T08:52:02Z,71592.4,ENSEM
EAT,2024-02-07T08:52:17Z,71592.6,ENSEM
EAT,2024-02-07T08:52:32Z,71592.9,ENSEM
EAT,2024-02-07T08:52:47Z,71593.1,ENSEM
EAT,2024-02-07T08:53:02Z,71593.3,ENSEM
EAT,2024-02-07T08:53:17Z,71593.6,ENSEM
EAT,2024-02-07T08:53:32Z,71593.8,ENSEM
EAT,2024-02-07T08:53:47Z,71594.0,ENSEM
EAT,2024-02-07T08:54:02Z,71594.2,ENSEM
EAT,2024-02-07T08:54:17Z,71594.5,ENSEM
EAT,2024-02-07T08:54:33Z,71594.7,ENSEM
EAT,2024-02-07T08:54:48Z,71594.9,ENSEM
EAT,2024-02-07T08:55:03Z,71595.2,ENSEM
EAT,2024-02-07T08:55:18Z,71595.4,ENSEM
EAT,2024-02-07T08:55:33Z,71595.6,ENSEM
EAT,2024-02-07T08:55:48Z,71595.8,ENSEM
EAT,2024-02-07T08:56:03Z,71596.1,ENSEM
EAT,2024-02-07T08:56:18Z,71596.3,ENSEM
EAT,2024-02-07T08:56:33Z,71596.5,ENSEM
EAT,2024-02-07T08:56:48Z,71596.8,ENSEM
EAT,2024-02-07T08:57:04Z,71597.0,ENSEM
EAT,2024-02-07T08:57:19Z,71597.2,ENSEM
EAT,2024-02-07T08:57:34Z,71597.5,ENSEM
EAT,2024-02-07T08:57:52Z,71597.7,ENSEM
EAT,2024-02-07T08:58:05Z,71597.9,ENSEM
EAT,2024-02-07T08:58:20Z,71598.2,ENSEM
EAT,2024-02-07T08:58:35Z,71598.4,ENSEM
EAT,2024-02-07T08:58:52Z,71598.7,ENSEM
EAT,2024-02-07T08:59:07Z,71598.9,ENSEM
EAT,2024-02-07T08:59:22Z,71599.2,ENSEM
EAT,2024-02-07T08:59:37Z,71599.4,ENSEM
EAT,2024-02-07T08:59:52Z,71599.6,ENSEM
EAT,2024-02-07T09:00:07Z,71599.9,ENSEM
EAT,2024-02-07T09:00:22Z,71600.1,ENSEM
EAT,2024-02-07T09:00:37Z,71600.3,ENSEM
EAT,2024-02-07T09:00:52Z,71600.6,ENSEM
EAT,2024-02-07T09:01:07Z,71600.8,ENSEM
EAT,2024-02-07T09:01:23Z,71601.0,ENSEM
EAT,2024-02-07T09:01:38Z,71601.3,ENSEM
EAT,2024-02-07T09:01:53Z,71601.5,ENSEM
EAT,2024-02-07T09:02:08Z,71601.7,ENSEM
EAT,2024-02-07T09:02:23Z,71602.0,ENSEM
EAT,2024-02-07T09:02:38Z,71602.2,ENSEM
EAT,2024-02-07T09:02:53Z,71602.4,ENSEM
EAT,2024-02-07T09:03:08Z,71602.7,ENSEM
EAT,2024-02-07T09:03:23Z,71602.9,ENSEM
EAT,2024-02-07T09:03:38Z,71603.1,ENSEM
EAT,2024-02-07T09:03:53Z,71603.4,ENSEM
EAT,2024-02-07T09:04:08Z,71603.6,ENSEM
EAT,2024-02-07T09:04:23Z,71603.8,ENSEM
EAT,2024-02-07T09:04:38Z,71604.0,ENSEM
EAT,2024-02-07T09:04:53Z,71604.3,ENSEM
EAT,2024-02-07T09:05:09Z,71604.5,ENSEM
EAT,2024-02-07T09:05:24Z,71604.8,ENSEM
EAT,2024-02-07T09:05:39Z,71605.0,ENSEM
EAT,2024-02-07T09:05:54Z,71605.2,ENSEM
EAT,2024-02-07T09:06:09Z,71605.5,ENSEM
EAT,2024-02-07T09:06:24Z,71605.7,ENSEM
EAT,2024-02-07T09:06:39Z,71605.9,ENSEM
EAT,2024-02-07T09:06:54Z,71606.1,ENSEM
EAT,2024-02-07T09:07:09Z,71606.4,ENSEM
EAT,2024-02-07T09:07:24Z,71606.6,ENSEM
EAT,2024-02-07T09:07:39Z,71606.8,ENSEM
EAT,2024-02-07T09:07:54Z,71607.0,ENSEM
EAT,2024-02-07T09:08:09Z,71607.3,ENSEM
EAT,2024-02-07T09:08:24Z,71607.5,ENSEM
EAT,2024-02-07T09:08:39Z,71607.7,ENSEM
EAT,2024-02-07T09:08:55Z,71607.9,ENSEM
EAT,2024-02-07T09:09:10Z,71608.1,ENSEM
EAT,2024-02-07T09:09:25Z,71608.4,ENSEM
EAT,2024-02-07T09:09:40Z,71608.6,ENSEM
EAT,2024-02-07T09:09:55Z,71608.9,ENSEM
EAT,2024-02-07T09:10:10Z,71609.1,ENSEM
EAT,2024-02-07T09:10:25Z,71609.3,ENSEM
EAT,2024-02-07T09:10:40Z,71609.5,ENSEM
EAT,2024-02-07T09:10:55Z,71609.7,ENSEM
EAT,2024-02-07T09:11:10Z,71610.0,ENSEM
EAT,2024-02-07T09:11:25Z,71610.2,ENSEM
EAT,2024-02-07T09:11:40Z,71610.4,ENSEM
EAT,2024-02-07T09:11:55Z,71610.7,ENSEM
EAT,2024-02-07T09:12:10Z,71610.9,ENSEM
EAT,2024-02-07T09:12:26Z,71611.1,ENSEM
EAT,2024-02-07T09:12:41Z,71611.4,ENSEM
EAT,2024-02-07T09:12:56Z,71611.6,ENSEM
EAT,2024-02-07T09:13:11Z,71611.9,ENSEM
EAT,2024-02-07T09:13:26Z,71612.1,ENSEM
EAT,2024-02-07T09:13:41Z,71612.3,ENSEM
EAT,2024-02-07T09:13:56Z,71612.5,ENSEM
EAT,2024-02-07T09:14:11Z,71612.7,ENSEM
EAT,2024-02-07T09:14:26Z,71612.9,ENSEM
EAT,2024-02-07T09:14:41Z,71613.1,ENSEM
EAT,2024-02-07T09:14:56Z,71613.3,ENSEM
EAT,2024-02-07T09:15:15Z,71613.5,ENSEM
EAT,2024-02-07T09:15:26Z,71613.8,ENSEM
EAT,2024-02-07T09:15:41Z,71614.0,ENSEM
EAT,2024-02-07T09:15:57Z,71614.2,ENSEM
EAT,2024-02-07T09:16:12Z,71614.4,ENSEM
EAT,2024-02-07T09:16:27Z,71614.6,ENSEM
EAT,2024-02-07T09:16:42Z,71614.8,ENSEM
EAT,2024-02-07T09:16:57Z,71615.0,ENSEM
EAT,2024-02-07T09:17:12Z,71615.2,ENSEM
EAT,2024-02-07T09:17:27Z,71615.4,ENSEM
EAT,2024-02-07T09:17:42Z,71615.7,ENSEM
EAT,2024-02-07T09:17:57Z,71615.9,ENSEM
EAT,2024-02-07T09:18:12Z,71616.1,ENSEM
EAT,2024-02-07T09:18:27Z,71616.3,ENSEM
EAT,2024-02-07T09:18:42Z,71616.5,ENSEM
EAT,2024-02-07T09:18:58Z,71616.8,ENSEM
EAT,2024-02-07T09:19:13Z,71617.0,ENSEM
EAT,2024-02-07T09:19:28Z,71617.2,ENSEM
EAT,2024-02-07T09:19:43Z,71617.4,ENSEM
