#datatype measurement,dateTime:RFC3339,double,tag
m,time,kW,location
PAT,2024-02-07T08:29:39Z,51.1,ENSEM
PAT,2024-02-07T08:29:54Z,50.5,ENSEM
PAT,2024-02-07T08:30:17Z,50.1,ENSEM
PAT,2024-02-07T08:30:25Z,50.3,ENSEM
PAT,2024-02-07T08:30:40Z,50.1,ENSEM
PAT,2024-02-07T08:30:55Z,50.3,ENSEM
PAT,2024-02-07T08:31:10Z,50.7,ENSEM
PAT,2024-02-07T08:31:25Z,52.1,ENSEM
PAT,2024-02-07T08:31:40Z,53.6,ENSEM
PAT,2024-02-07T08:31:55Z,51.9,ENSEM
PAT,2024-02-07T08:32:10Z,52.8,ENSEM
PAT,2024-02-07T08:32:25Z,52.4,ENSEM
PAT,2024-02-07T08:32:40Z,51.8,ENSEM
PAT,2024-02-07T08:32:55Z,48.8,ENSEM
PAT,2024-02-07T08:33:10Z,49.5,ENSEM
PAT,2024-02-07T08:33:25Z,49.1,ENSEM
PAT,2024-02-07T08:33:41Z,49.2,ENSEM
PAT,2024-02-07T08:33:56Z,48.7,ENSEM
PAT,2024-02-07T08:34:11Z,49.7,ENSEM
PAT,2024-02-07T08:34:26Z,50.2,ENSEM
PAT,2024-02-07T08:34:41Z,49.6,ENSEM
PAT,2024-02-07T08:34:56Z,49.3,ENSEM
PAT,2024-02-07T08:35:11Z,49.1,ENSEM
PAT,2024-02-07T08:35:41Z,49.4,ENSEM
PAT,2024-02-07T08:35:56Z,49.5,ENSEM
PAT,2024-02-07T08:36:11Z,50.3,ENSEM
PAT,2024-02-07T08:36:26Z,49.9,ENSEM
PAT,2024-02-07T08:36:41Z,50.1,ENSEM
PAT,2024-02-07T08:37:11Z,52.3,ENSEM
PAT,2024-02-07T08:37:27Z,50.8,ENSEM
PAT,2024-02-07T08:37:42Z,50.6,ENSEM
PAT,2024-02-07T08:37:57Z,54.2,ENSEM
PAT,2024-02-07T08:38:12Z,53.8,ENSEM
PAT,2024-02-07T08:38:27Z,53.5,ENSEM
PAT,2024-02-07T08:38:44Z,54.4,ENSEM
PAT,2024-02-07T08:39:14Z,55.0,ENSEM
PAT,2024-02-07T08:39:29Z,51.1,ENSEM
PAT,2024-02-07T08:39:59Z,50.6,ENSEM
PAT,2024-02-07T08:40:14Z,51.2,ENSEM
PAT,2024-02-07T08:40:29Z,50.0,ENSEM
PAT,2024-02-07T08:40:45Z,49.7,ENSEM
PAT,2024-02-07T08:41:00Z,49.9,ENSEM
PAT,2024-02-07T08:41:15Z,49.7,ENSEM
PAT,2024-02-07T08:41:45Z,49.9,ENSEM
PAT,2024-02-07T08:42:00Z,49.6,ENSEM
PAT,2024-02-07T08:42:30Z,49.8,ENSEM
PAT,2024-02-07T08:42:45Z,54.2,ENSEM
PAT,2024-02-07T08:43:00Z,55.7,ENSEM
PAT,2024-02-07T08:43:15Z,54.6,ENSEM
PAT,2024-02-07T08:43:30Z,55.0,ENSEM
PAT,2024-02-07T08:43:45Z,54.5,ENSEM
PAT,2024-02-07T08:44:00Z,54.6,ENSEM
PAT,2024-02-07T08:44:16Z,54.5,ENSEM
PAT,2024-02-07T08:44:31Z,55.0,ENSEM
PAT,2024-02-07T08:44:46Z,57.4,ENSEM
PAT,2024-02-07T08:45:16Z,57.0,ENSEM
PAT,2024-02-07T08:45:31Z,57.5,ENSEM
PAT,2024-02-07T08:45:46Z,58.1,ENSEM
PAT,2024-02-07T08:46:01Z,57.3,ENSEM
PAT,2024-02-07T08:46:16Z,55.0,ENSEM
PAT,2024-02-07T08:46:46Z,54.8,ENSEM
PAT,2024-02-07T08:47:02Z,54.9,ENSEM
PAT,2024-02-07T08:47:17Z,54.0,ENSEM
PAT,2024-02-07T08:47:32Z,54.1,ENSEM
PAT,2024-02-07T08:47:47Z,53.0,ENSEM
PAT,2024-02-07T08:48:02Z,53.3,ENSEM
PAT,2024-02-07T08:48:17Z,53.6,ENSEM
PAT,2024-02-07T08:48:32Z,53.8,ENSEM
PAT,2024-02-07T08:48:47Z,53.2,ENSEM
PAT,2024-02-07T08:49:02Z,53.0,ENSEM
PAT,2024-02-07T08:49:17Z,53.7,ENSEM
PAT,2024-02-07T08:49:32Z,54.0,ENSEM
PAT,2024-02-07T08:49:47Z,53.7,ENSEM
PAT,2024-02-07T08:50:02Z,55.2,ENSEM
PAT,2024-02-07T08:50:18Z,54.6,ENSEM
PAT,2024-02-07T08:50:33Z,55.4,ENSEM
PAT,2024-02-07T08:50:48Z,54.7,ENSEM
PAT,2024-02-07T08:51:03Z,54.8,ENSEM
PAT,2024-02-07T08:51:18Z,54.5,ENSEM
PAT,2024-02-07T08:51:33Z,58.1,ENSEM
PAT,2024-02-07T08:51:48Z,57.7,ENSEM
PAT,2024-02-07T08:52:03Z,58.0,ENSEM
PAT,2024-02-07T08:52:18Z,58.3,ENSEM
PAT,2024-02-07T08:52:33Z,57.9,ENSEM
PAT,2024-02-07T08:52:48Z,56.7,ENSEM
PAT,2024-02-07T08:53:03Z,54.7,ENSEM
PAT,2024-02-07T08:53:18Z,54.9,ENSEM
PAT,2024-02-07T08:53:34Z,55.2,ENSEM
PAT,2024-02-07T08:53:49Z,54.8,ENSEM
PAT,2024-02-07T08:54:04Z,55.1,ENSEM
PAT,2024-02-07T08:54:19Z,54.1,ENSEM
PAT,2024-02-07T08:54:34Z,55.2,ENSEM
PAT,2024-02-07T08:54:49Z,53.9,ENSEM
PAT,2024-02-07T08:55:04Z,54.0,ENSEM
PAT,2024-02-07T08:55:19Z,53.8,ENSEM
PAT,2024-02-07T08:55:34Z,54.4,ENSEM
PAT,2024-02-07T08:55:49Z,54.3,ENSEM
PAT,2024-02-07T08:56:19Z,54.0,ENSEM
PAT,2024-02-07T08:56:35Z,55.1,ENSEM
PAT,2024-02-07T08:56:50Z,55.3,ENSEM
PAT,2024-02-07T08:57:21Z,54.9,ENSEM
PAT,2024-02-07T08:58:06Z,57.4,ENSEM
PAT,2024-02-07T08:58:38Z,57.8,ENSEM
PAT,2024-02-07T08:58:53Z,58.0,ENSEM
PAT,2024-02-07T08:59:23Z,55.5,ENSEM
PAT,2024-02-07T08:59:38Z,55.6,ENSEM
PAT,2024-02-07T08:59:53Z,55.4,ENSEM
PAT,2024-02-07T09:00:08Z,55.0,ENSEM
PAT,2024-02-07T09:00:24Z,55.9,ENSEM
PAT,2024-02-07T09:00:54Z,55.8,ENSEM
PAT,2024-02-07T09:01:09Z,55.9,ENSEM
PAT,2024-02-07T09:01:24Z,55.0,ENSEM
PAT,2024-02-07T09:01:54Z,55.3,ENSEM
PAT,2024-02-07T09:02:09Z,55.1,ENSEM
PAT,2024-02-07T09:02:39Z,54.6,ENSEM
